fac_cd,fac_nm,ctp_cd,ctp_nm,sig_cd,sig_nm,emd_cd,emd_nm,all_addr_nm,lat,lon
502040,국립강릉원주대학교,5100000000,강원특별자치도,5115000000,강릉시,5115013200,지변동,강원특별자치도 강릉시 죽헌길 7 (지변동) ,37.76833197399259,128.87081361799437
502041,국립강릉원주대학교,5100000000,강원특별자치도,5113000000,원주시,5113037021,흥업면,강원특별자치도 원주시 흥업면 남원로 150 ,37.30461153998765,127.92145721700024
502042,강원대학교,5100000000,강원특별자치도,5111000000,춘천시,5111011200,효자동,강원특별자치도 춘천시 강원대학길 1 (효자동) ,37.8674227580035,127.74295686896238
502043,강원대학교,5100000000,강원특별자치도,5123000000,삼척시,5123011000,마달동,강원특별자치도 삼척시 중앙로 346 (교동) ,37.45112260701555,129.15962543002203
502044,경북대학교,2700000000,대구광역시,2723000000,북구,2723011000,대현동,"대구광역시 북구 대학로 80 (산격동, 경북대학교) ",35.887720187988386,128.60771577698478
502045,경상국립대학교,4800000000,경상남도,4817000000,진주시,4817013100,가좌동,경상남도 진주시 진주대로 501 (가좌동) ,35.153847333009736,128.09542251303242
502046,국립공주대학교,4400000000,충청남도,4415000000,공주시,4415012000,신관동,"충청남도 공주시 공주대학로 56 (신관동, 공주대학교) ",36.47150817803291,127.14382769001332
502047,국립군산대학교,5200000000,전북특별자치도,5213000000,군산시,5213014500,미룡동,"전라북도 군산시 대학로 558 (미룡동, 군산대학교) ",35.9499276440352,126.68272732399276
502048,국립금오공과대학교,4700000000,경상북도,4719000000,구미시,4719012600,양호동,"경상북도 구미시 대학로 61 (양호동, 금오공과대학교) ",36.14691289902125,128.3891054599901
502049,국립목포대학교,4600000000,전라남도,4684000000,무안군,4684033023,청계면,"전라남도 무안군 청계면 영산로 1666 (도림리, 목포대학교) ",34.905790658027385,126.43298245899308
502050,국립목포해양대학교,4600000000,전라남도,4611000000,목포시,4611015700,죽교동,"전라남도 목포시 해양대학로 91 (죽교동, 목포해양대학교) ",34.790646570029296,126.36380972100147
502051,국립부경대학교,2600000000,부산광역시,2629000000,남구,2629010600,대연동,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스) ",35.13161703099136,129.1046122719815
502052,부산대학교,2600000000,부산광역시,2641000000,금정구,2641010800,장전동,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교) ",35.23147554403204,129.0840635939944
502053,서울대학교,1100000000,서울특별시,1162000000,관악구,1162010100,봉천동,"서울특별시 관악구 관악로 1 (신림동, 서울대학교) ",37.46855737900059,126.95702545895914
502054,국립순천대학교,4600000000,전라남도,4615000000,순천시,4615010800,석현동,"전라남도 순천시 중앙로 255 (석현동, 순천대학교) ",34.97044434802942,127.4784001570143
502055,국립경국대학교,4700000000,경상북도,4717000000,안동시,4717013700,송천동,"경상북도 안동시 경동로 1375 (송천동, 안동대학교) ",36.54007145301081,128.80005006002384
502056,전남대학교,2900000000,광주광역시,2917000000,북구,2917010700,용봉동,"광주광역시 북구 용봉로 45 (용봉동, 전남대학교) ",35.17265327200904,126.90344113902114
502057,전남대학교,4600000000,전라남도,4613000000,여수시,4613012200,미평동,"전라남도 여수시 대학로 50 (둔덕동, 전남대학교여수캠퍼스) ",34.77312541297566,127.69942414503896
502058,전북대학교,5200000000,전북특별자치도,5211300000,전주시 덕진구,5211310500,덕진동1가,"전라북도 전주시 덕진구 백제대로 567 (금암동, 전북대학교) ",35.846313694998614,127.12851749798983
502059,제주대학교,5000000000,제주특별자치도,5011000000,제주시,5011011700,아라일동,"제주특별자치도 제주시 제주대학로 102 (아라일동, 제주대학교) ",33.45583376601457,126.56196914198702
502060,국립창원대학교,4800000000,경상남도,4812100000,창원시 의창구,4812111700,퇴촌동,"경상남도 창원시 의창구 창원대학로 20 (사림동, 창원대학교) ",35.24347454496693,128.69288990698155
502061,충남대학교,3000000000,대전광역시,3020000000,유성구,3020012200,궁동,"대전광역시 유성구 대학로 99 (궁동, 충남대학교) ",36.3652252050107,127.3466201840243
502062,충북대학교,4300000000,충청북도,4311200000,청주시 서원구,4311210900,개신동,"충청북도 청주시 서원구 충대로 1 (개신동, 충북대학교) ",36.62754231401112,127.4621276009948
502063,한국교원대학교,4300000000,충청북도,4311300000,청주시 흥덕구,4311331030,강내면,"충청북도 청주시 흥덕구 강내면 태성탑연로 250 (다락리, 한국교원대학교) ",36.60760821701855,127.35858397895822
502064,한국체육대학교,1100000000,서울특별시,1171000000,송파구,1171011100,방이동,"서울특별시 송파구 양재대로 1239 (방이동, 한국체육대학교) ",37.51848823198485,127.12971904301172
502065,국립한국해양대학교,2600000000,부산광역시,2620000000,영도구,2620012100,동삼동,"부산광역시 영도구 태종로 727 (동삼동, 한국해양대학교) ",35.07739893400195,129.08861897101227
502066,국립한국교통대학교,4300000000,충청북도,4313000000,충주시,4313033529,대소원면,"충청북도 충주시 대소원면 대학로 50 (검단리, 한국교통대학교) ",36.97229104198141,127.8719299870362
502067,서울과학기술대학교,1100000000,서울특별시,1135000000,노원구,1135010300,공릉동,"서울특별시 노원구 공릉로 232 (공릉동, 서울과학기술대학교) ",37.6347530039664,127.08030555000344
502068,한경국립대학교,4100000000,경기도,4155000000,안성시,4155011800,석정동,"경기도 안성시 중앙로 327 (석정동, 한경대학교) ",37.01173856602443,127.265827983971
502069,국립한밭대학교,3000000000,대전광역시,3020000000,유성구,3020011300,덕명동,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교) ",36.35483849903076,127.30247440600304
502070,서울시립대학교,1100000000,서울특별시,1123000000,동대문구,1123010400,전농동,"서울특별시 동대문구 서울시립대로 163 (전농동, 서울시립대학교) ",37.58252260200938,127.05921030897
502071,가톨릭대학교,4100000000,경기도,4119200000,부천시 원미구,4119210600,소사동,"경기도 부천시 원미구 지봉로 43 (역곡동, 가톨릭대학교성심교정) ",37.48748500399577,126.7985672140076
502072,가톨릭대학교,1100000000,서울특별시,1165000000,서초구,1165010700,반포동,"서울특별시 서초구 반포대로 222 (반포동, 가톨릭대학교성의교정) ",37.49985827798417,127.00608551601728
502073,가톨릭대학교,1100000000,서울특별시,1111000000,종로구,1111016900,혜화동,"서울특별시 종로구 창경궁로 296-12 (혜화동, 가톨릭대학교성신교정) ",37.58599045799452,127.0060233819745
502074,감리교신학대학교,1100000000,서울특별시,1141000000,서대문구,1141010500,냉천동,"서울특별시 서대문구 독립문로 56 (냉천동, 감리교신학대학) ",37.5679165520327,126.9618929429562
502075,강남대학교,4100000000,경기도,4146300000,용인시 기흥구,4146310200,구갈동,"경기도 용인시 기흥구 강남로 40 (구갈동, 강남대학교) ",37.27679168401187,127.1333944649624
502076,건국대학교,1100000000,서울특별시,1121500000,광진구,1121510700,화양동,"서울특별시 광진구 능동로 120 (화양동, 건국대학교) ",37.54341658201925,127.07818913096196
502077,건국대학교(글로컬),4300000000,충청북도,4313000000,충주시,4313010900,단월동,"충청북도 충주시 충원대로 268 (단월동, 건국대학교 글로컬캠퍼스) ",36.9482397539971,127.90602675502312
502078,건양대학교,4400000000,충청남도,4423000000,논산시,4423041027,은진면,"충청남도 논산시 대학로 121 (내동, 건양대학교) ",36.18203856998706,127.11170457604184
502079,건양대학교,3000000000,대전광역시,3017000000,서구,3017011600,관저동,"대전광역시 서구 관저동로 158 (관저동, 건양대학교병원) ",36.30682219303601,127.34264048696636
502080,경기대학교,4100000000,경기도,4111700000,수원시 영통구,4111710300,이의동,"경기도 수원시 영통구 광교산로 154-42 (이의동, 경기대학교) ",37.30119998498446,127.03997807996194
502081,경기대학교,1100000000,서울특별시,1141000000,서대문구,1141010100,충정로2가,"서울특별시 서대문구 경기대로9길 24 (충정로2가, 경기대학교) ",37.56475122400975,126.96224300896642
502082,경남대학교,4800000000,경상남도,4812500000,창원시 마산합포구,4812513400,월영동,"경상남도 창원시 마산합포구 경남대학로 7 (월영동, 경남대학교) ",35.1841903199675,128.55273941097386
502083,경동대학교,5100000000,강원특별자치도,5182000000,고성군,5182033035,토성면,강원특별자치도 고성군 토성면 봉포4길 46 ,38.2507546170116,128.55767454098643
502084,대구한의대학교,4700000000,경상북도,4729000000,경산시,4729012200,유곡동,경상북도 경산시 한의대로 1(유곡동) ,35.796321362973714,128.77460749700262
502085,경성대학교,2600000000,부산광역시,2629000000,남구,2629010600,대연동,"부산광역시 남구 수영로 309 (대연동, 경성대학교) ",35.13835282800086,129.095502659974
502086,가천대학교,4100000000,경기도,4113100000,성남시 수정구,4113110700,복정동,"경기도 성남시 수정구 성남대로 1342 (복정동, 가천대학교) ",37.45135621799959,127.12847429800784
502087,경일대학교,4700000000,경상북도,4729000000,경산시,4729025031,하양읍,"경상북도 경산시 하양읍 가마실길 50 (부호리, 경일대학교) ",35.907655382029176,128.80106867903828
502088,신경주대학교,4700000000,경상북도,4713000000,경주시,4713011600,효현동,"경상북도 경주시 태종로 188 (효현동, 경주대학교) ",35.828167463974275,129.16143845700014
502089,경희대학교,1100000000,서울특별시,1123000000,동대문구,1123010800,회기동,"서울특별시 동대문구 경희대로 26 (회기동, 경희대학교) ",37.59444127803206,127.0509388219785
502090,계명대학교,2700000000,대구광역시,2729000000,달서구,2729012500,호산동,"대구광역시 달서구 달구벌대로 1095 (신당동, 계명대학교성서캠퍼스) ",35.85545197899135,128.47941593103485
502091,고려대학교,1100000000,서울특별시,1129000000,성북구,1129012500,안암동5가,"서울특별시 성북구 안암로 145 (안암동5가, 고려대학교안암캠퍼스(인문사회계)) ",37.5914274459892,127.02887471997356
502092,고려대학교(세종),3600000000,세종특별자치시,3611000000,,3611025034,조치원읍,"세종특별자치시 조치원읍 세종로 2511 (서창리, 고려대학교세종캠퍼스) ",36.6116961819735,127.2927201599832
502093,고신대학교,2600000000,부산광역시,2620000000,영도구,2620012100,동삼동,"부산광역시 영도구 와치로 194 (동삼동, 고신대학교) ",35.078481572974844,129.06385576898575
502094,가톨릭관동대학교,5100000000,강원특별자치도,5115000000,강릉시,5115011600,내곡동,강원특별자치도 강릉시 범일로579번길 24 (내곡동) ,37.73659861500951,128.8765369769988
502095,광신대학교,2900000000,광주광역시,2917000000,북구,2917012600,본촌동,"광주광역시 북구 양산택지소로 36 (본촌동, 광신대학교) ",35.21572536897496,126.88465661597763
502096,광운대학교,1100000000,서울특별시,1135000000,노원구,1135010200,월계동,"서울특별시 노원구 광운로 20 (월계동, 광운대학교) ",37.62013710903006,127.0588156690046
502097,광주가톨릭대학교,4600000000,전라남도,4617000000,나주시,4617025030,남평읍,"전라남도 나주시 남평읍 중남길 12-25 (남석리, 광주가톨릭대학교) ",35.015092404029986,126.86424900699728
502098,광주여자대학교,2900000000,광주광역시,2920000000,광산구,2920012700,산정동,광주광역시 광산구 광주여대길 40 (산정동) ,35.163165836014834,126.79640857100368
502099,국민대학교,1100000000,서울특별시,1129000000,성북구,1129013300,정릉동,"서울특별시 성북구 정릉로 77 (정릉동, 국민대학교) ",37.61194585802313,126.998038139016
502100,강서대학교,1100000000,서울특별시,1150000000,강서구,1150010300,화곡동,"서울특별시 강서구 까치산로24길 47 (화곡동, 케이씨대학교) ",37.548669016033216,126.85413465297016
502101,극동대학교,4300000000,충청북도,4377000000,음성군,4377037031,감곡면,"충청북도 음성군 감곡면 대학길 76-32 (왕장리, 극동대학교) ",37.128254341998414,127.64187083901552
502102,나사렛대학교,4400000000,충청남도,4413300000,천안시 서북구,4413310700,쌍용동,"충청남도 천안시 서북구 월봉로 48 (쌍용동, 나사렛대학교) ",36.79568614897343,127.11900585503808
502103,단국대학교,4100000000,경기도,4146500000,용인시 수지구,4146510200,죽전동,"경기도 용인시 수지구 죽전로 152 (죽전동, 단국대학교) ",37.31996466400064,127.12556203199144
502104,대구대학교,4700000000,경상북도,4729000000,경산시,4729025329,진량읍,"경상북도 경산시 진량읍 대구대로 201 (내리리, 대구대학교경산캠퍼스) ",35.90021498601729,128.8547715650055
502105,대구예술대학교,4700000000,경상북도,4785000000,칠곡군,4785033034,가산면,"경상북도 칠곡군 가산면 다부거문1길 202 (다부리, 대구예술대학교) ",36.03218254902082,128.50948409300852
502106,대구가톨릭대학교,4700000000,경상북도,4729000000,경산시,4729025021,하양읍,"경상북도 경산시 하양읍 하양로 13-13 (금락리, 대구가톨릭대학교) ",35.91511521699591,128.80700417196311
502107,세한대학교,4600000000,전라남도,4683000000,영암군,4683025326,삼호읍,"전라남도 영암군 삼호읍 녹색로 1113 (산호리, 세한대학교) ",34.74651410902112,126.4822779650262
502108,대신대학교,4700000000,경상북도,4729000000,경산시,4729010600,백천동,"경상북도 경산시 경청로222길 33 (백천동, 대신대학교) ",35.80438353697124,128.74543892699873
502109,대전가톨릭대학교,3600000000,세종특별자치시,3611000000,,3611037030,전의면,"세종특별자치시 전의면 가톨릭대학로 30 (신방리, 대전가톨릭대학교) ",36.65423282701372,127.19332480198118
502110,대전대학교,3000000000,대전광역시,3011000000,동구,3011010900,용운동,"대전광역시 동구 대학로 62 (용운동, 대전대학교) ",36.33376271803035,127.46116578497104
502111,대진대학교,4100000000,경기도,4165000000,포천시,4165010300,자작동,"경기도 포천시 호국로 1007 (선단동, 대진대학교) ",37.87414313503174,127.15830583699832
502112,서울기독대학교,1100000000,서울특별시,1138000000,은평구,1138010900,신사동,"서울특별시 은평구 갈현로4길 26-2 (신사동, 서울기독대학교) ",37.601127511971264,126.9121225049986
502113,덕성여자대학교,1100000000,서울특별시,1132000000,도봉구,1132010500,쌍문동,"서울특별시 도봉구 삼양로144길 33 (쌍문동, 덕성여자대학교) ",37.65246240398754,127.0158411890109
502114,동국대학교,1100000000,서울특별시,1114000000,중구,1114014400,장충동2가,"서울특별시 중구 필동로1길 30 (장충동2가, 동국대학교) ",37.55734559202141,127.0025589490414
502115,동국대학교(WISE),4700000000,경상북도,4713000000,경주시,4713014400,석장동,경상북도 경주시 동대로 123(석장동) ,35.86333763297321,129.1911608039712
502116,동덕여자대학교,1100000000,서울특별시,1129000000,성북구,1129013700,상월곡동,"서울특별시 성북구 화랑로13길 60 (하월곡동, 동덕여자대학교) ",37.60752069101637,127.0429045039662
502117,동서대학교,2600000000,부산광역시,2653000000,사상구,2653010600,주례동,"부산광역시 사상구 주례로 47 (주례동, 동서대학교) ",35.14441332800698,129.0144544319799
502118,동신대학교,4600000000,전라남도,4617000000,나주시,4617011600,대호동,전라남도 나주시 동신대길 67 (대호동) ,35.04969497301244,126.7179851120228
502119,동아대학교,2600000000,부산광역시,2638000000,사하구,2638010300,하단동,"부산광역시 사하구 낙동대로550번길 37 (하단동, 동아대학교) ",35.11605948501688,128.96831675399196
502120,동양대학교,4700000000,경상북도,4721000000,영주시,4721025023,풍기읍,"경상북도 영주시 풍기읍 동양대로 145 (산법리, 동양대학교) ",36.880805395973454,128.53752566504372
502121,동의대학교,2600000000,부산광역시,2623000000,부산진구,2623011000,가야동,"부산광역시 부산진구 엄광로 176 (가야동, 동의대학교) ",35.14373104799813,129.0353173979659
502122,루터대학교,4100000000,경기도,4146300000,용인시 기흥구,4146310300,상갈동,"경기도 용인시 기흥구 금화로82번길 20 (상갈동, 루터대학교) ",37.2650641740081,127.113622377035
502123,명지대학교,4100000000,경기도,4146100000,용인시 처인구,4146110400,남동,"경기도 용인시 처인구 명지로 116 (남동, 명지대학교용인캠퍼스) ",37.22412455703375,127.18733584699002
502124,명지대학교,1100000000,서울특별시,1141000000,서대문구,1141012000,남가좌동,"서울특별시 서대문구 거북골로 34 (남가좌동, 명지대학교) ",37.580243114025954,126.92255941898122
502125,목원대학교,3000000000,대전광역시,3017000000,서구,3017011500,도안동,"대전광역시 서구 도안북로 88 (도안동, 목원대학교) ",36.32438637397679,127.33787689501835
502126,배재대학교,3000000000,대전광역시,3017000000,서구,3017010300,도마동,"대전광역시 서구 배재로 155-40 (도마동, 배재대학교) ",36.32191783698264,127.3672424309789
502127,부산가톨릭대학교,2600000000,부산광역시,2641000000,금정구,2641010900,부곡동,"부산광역시 금정구 오륜대로 57 (부곡동, 부산가톨릭대학교) ",35.24499444797372,129.098201305987
502128,부산외국어대학교,2600000000,부산광역시,2641000000,금정구,2641010400,남산동,"부산광역시 금정구 금샘로485번길 65 (남산동, 부산외국어대학교) ",35.26711852997822,129.0810380530258
502129,삼육대학교,1100000000,서울특별시,1135000000,노원구,1135010300,공릉동,"서울특별시 노원구 화랑로 815 (공릉동, 삼육대학교) ",37.64052451499044,127.10850700598952
502130,상명대학교,1100000000,서울특별시,1111000000,종로구,1111018500,홍지동,"서울특별시 종로구 홍지문2길 20 (홍지동, 상명대학교) ",37.60310035098762,126.95567856499714
502131,상지대학교,5100000000,강원특별자치도,5113000000,원주시,5113011100,우산동,강원특별자치도 원주시 상지대길 83 (우산동) ,37.37103654198916,127.92583585803185
502132,서강대학교,1100000000,서울특별시,1144000000,마포구,1144011100,신수동,"서울특별시 마포구 백범로 35 (신수동, 서강대학교) ",37.55194227302072,126.93958572799949
502133,서경대학교,1100000000,서울특별시,1129000000,성북구,1129013300,정릉동,"서울특별시 성북구 서경로 124 (정릉동, 서경대학교) ",37.615328823984925,127.01141295603496
502134,서울신학대학교,4100000000,경기도,4119400000,부천시 소사구,4119410100,소사본동,"경기도 부천시 소사구 호현로489번길 52 (소사본동, 서울신학대학교) ",37.47869118299687,126.79055918303614
502135,서울여자대학교,1100000000,서울특별시,1135000000,노원구,1135010300,공릉동,"서울특별시 노원구 화랑로 621 (공릉동, 서울여자대학교) ",37.6269556979782,127.09344342001684
502136,서울장신대학교,4100000000,경기도,4161000000,광주시,4161010100,경안동,"경기도 광주시 경안로 145 (경안동, 서울장신대학교) ",37.41039348099963,127.24698497997366
502137,서원대학교,4300000000,충청북도,4311200000,청주시 서원구,4311210300,모충동,"충청북도 청주시 서원구 무심서로 377-3 (모충동, 서원대학교) ",36.62595624198873,127.48210862501986
502138,선문대학교,4400000000,충청남도,4420000000,아산시,4420033026,탕정면,"충청남도 아산시 탕정면 선문로221번길 70 (갈산리, 선문대학교) ",36.797451618988205,127.07596294803358
502139,성결대학교,4100000000,경기도,4117100000,안양시 만안구,4117110100,안양동,"경기도 안양시 만안구 성결대학로 53 (안양동, 성결대학교) ",37.38032981401505,126.92760548096012
502140,성공회대학교,1100000000,서울특별시,1153000000,구로구,1153011200,항동,"서울특별시 구로구 연동로 320 (항동, 성공회대학교) ",37.48834487097239,126.8250309000073
502141,성균관대학교,1100000000,서울특별시,1111000000,종로구,1111017300,명륜3가,"서울특별시 종로구 성균관로 25-2 (명륜3가, 성균관대학교) ",37.587986948997,126.99462223100844
502142,성신여자대학교,1100000000,서울특별시,1129000000,성북구,1129011800,동선동3가,"서울특별시 성북구 보문로34다길 2 (돈암동, 성신여자대학교) ",37.592344056013175,127.02129967301644
502143,세명대학교,4300000000,충청북도,4315000000,제천시,4315011200,신월동,"충청북도 제천시 세명로 65 (신월동, 세명대학교) ",37.17627017097557,128.19646316700818
502144,세종대학교,1100000000,서울특별시,1121500000,광진구,1121510900,군자동,"서울특별시 광진구 능동로 209 (군자동, 세종대학교) ",37.54994491097712,127.07456619703436
502145,수원가톨릭대학교,4100000000,경기도,4159000000,화성시,4159025328,봉담읍,"경기도 화성시 봉담읍 왕림1길 67 (왕림리, 수원가톨릭대학교) ",37.19309631100568,126.93487560701112
502146,수원대학교,4100000000,경기도,4159000000,화성시,4159025325,봉담읍,"경기도 화성시 봉담읍 와우안길 17 (와우리, 수원대학교) ",37.20807333801334,126.98017820095995
502147,숙명여자대학교,1100000000,서울특별시,1117000000,용산구,1117011000,청파동2가,"서울특별시 용산구 청파로47길 90 (청파동2가, 숙명여자대학교) ",37.54529923897416,126.96534477099874
502148,순천향대학교,4400000000,충청남도,4420000000,아산시,4420041022,신창면,"충청남도 아산시 신창면 순천향로 22 (읍내리, 순천향대학교) ",36.76835119601523,126.92893731897829
502149,숭실대학교,1100000000,서울특별시,1159000000,동작구,1159010200,상도동,"서울특별시 동작구 상도로 369 (상도동, 숭실대학교) ",37.496617801974345,126.95408906203824
502150,신라대학교,2600000000,부산광역시,2653000000,사상구,2653010400,괘법동,"부산광역시 사상구 백양대로700번길 140 (괘법동, 신라대학교) ",35.1692333489667,128.9952846240263
502151,아신대학교,4100000000,경기도,4183000000,양평군,4183034024,옥천면,경기도 양평군 옥천면 경강로 1276 아신대학교,37.51120334896759,127.42910104101144
502152,아주대학교,4100000000,경기도,4111700000,수원시 영통구,4111710200,원천동,"경기도 수원시 영통구 월드컵로 206 (원천동, 아주대학교) ",37.284478040035175,127.04803369101091
502153,안양대학교,4100000000,경기도,4117100000,안양시 만안구,4117110100,안양동,"경기도 안양시 만안구 삼덕로37번길 22 (안양동, 안양대학교) ",37.39178641602956,126.92046361196364
502154,안양대학교,2800000000,인천광역시,2871000000,강화군,2871032027,불은면,"인천광역시 강화군 불은면 중앙로 602-14 (삼성리, 안양대학교강화캠퍼스) ",37.71100389597782,126.44471138598236
502155,연세대학교,1100000000,서울특별시,1141000000,서대문구,1141011400,신촌동,"서울특별시 서대문구 연세로 50 (신촌동, 연세대학교) ",37.56434395998294,126.93891399100656
502156,연세대학교(미래),5100000000,강원특별자치도,5113000000,원주시,5113037022,흥업면,강원특별자치도 원주시 흥업면 연세대길 1 연세대학교 미래캠퍼스,37.27788564999084,127.90348632398104
502157,영남대학교,4700000000,경상북도,4729000000,경산시,4729011800,조영동,"경상북도 경산시 대학로 280 (대동, 영남대학교) ",35.833934907024684,128.76188329596732
502158,영남신학대학교,4700000000,경상북도,4729000000,경산시,4729025324,진량읍,"경상북도 경산시 진량읍 봉회1길 26 (봉회리, 영남신학대학교) ",35.881243842972275,128.81583227998803
502159,유원대학교,4300000000,충청북도,4374000000,영동군,4374025031,영동읍,충청북도 영동군 영동읍 대학로 310 ,36.1987604960279,127.79810215597594
502160,영산선학대학교,4600000000,전라남도,4687000000,영광군,4687025322,백수읍,전라남도 영광군 백수읍 성지로 1357 (길용리) ,35.32662291500715,126.44192019301347
502161,용인대학교,4100000000,경기도,4146100000,용인시 처인구,4146110300,삼가동,"경기도 용인시 처인구 용인대학로 134 (삼가동, 용인대학교) ",37.22639058601978,127.1688130189991
502162,우석대학교,5200000000,전북특별자치도,5271000000,완주군,5271025022,삼례읍,"전라북도 완주군 삼례읍 삼례로 443 (후정리, 우석대학교) ",35.914839133006375,127.06750449998204
502163,울산대학교,3100000000,울산광역시,3114000000,남구,3114010100,무거동,"울산광역시 남구 대학로 93 (무거동, 울산대학교) ",35.54641536498752,129.2580726500183
502164,원광대학교,5200000000,전북특별자치도,5214000000,익산시,5214012100,신동,"전라북도 익산시 익산대로 460 (신동, 원광대학교) ",35.968923171015746,126.96078843700562
502165,위덕대학교,4700000000,경상북도,4713000000,경주시,4713037026,강동면,"경상북도 경주시 강동면 동해대로 261 (유금리, 위덕대학교) ",36.01188060198762,129.28417541997612
502166,을지대학교,3000000000,대전광역시,3014000000,중구,3014010300,목동,"대전광역시 중구 계룡로771번길 77 (목동, 을지대학교대전캠퍼스) ",36.332959762019215,127.40571376496976
502167,을지대학교,4100000000,경기도,4113100000,성남시 수정구,4113110600,양지동,"경기도 성남시 수정구 산성대로 553 (양지동, 을지대학교) ",37.46141019802235,127.16561617002446
502168,이화여자대학교,1100000000,서울특별시,1141000000,서대문구,1141011200,대현동,"서울특별시 서대문구 이화여대길 52 (대현동, 이화여자대학교) ",37.56031182701277,126.9446956699867
502169,인제대학교,4800000000,경상남도,4825000000,김해시,4825011800,어방동,"경상남도 김해시 인제로 197 (어방동, 인제대학교) ",35.25133566801062,128.90106680695527
502170,인제대학교,2600000000,부산광역시,2623000000,부산진구,2623011100,개금동,"부산광역시 부산진구 복지로 75 (개금동, 백병원) ",35.1464871660072,129.02122227698737
502171,인천가톨릭대학교,2800000000,인천광역시,2818500000,연수구,2818510600,송도동,인천광역시 연수구 송도문화로120번길 20 (송도동) 인천가톨릭대학교,37.37262428702039,126.66350700799282
502172,인천가톨릭대학교,2800000000,인천광역시,2871000000,강화군,2871035027,양도면,"인천광역시 강화군 양도면 고려왕릉로 53-1 (도장리, 인천가톨릭대학교) ",37.65789755001025,126.44702155501176
502173,인하대학교,2800000000,인천광역시,2817700000,미추홀구,2817710200,용현동,인천광역시 미추홀구 인하로 100(용현동) 인하대학교,37.45016946601503,126.65521452602562
502174,장로회신학대학교,1100000000,서울특별시,1121500000,광진구,1121510400,광장동,"서울특별시 광진구 광장로5길 25-1 (광장동, 장로회신학대학교) ",37.549338778003225,127.10489916097389
502175,전주대학교,5200000000,전북특별자치도,5211100000,전주시 완산구,5211114200,효자동3가,"전라북도 전주시 완산구 천잠로 303 (효자동2가, 전주대학교) ",35.81709249699895,127.08501643303266
502176,조선대학교,2900000000,광주광역시,2911000000,동구,2911011800,서석동,광주광역시 동구 조선대길 146(서석동) ,35.14273957396553,126.934704353982
502177,중부대학교,4400000000,충청남도,4471000000,금산군,4471039023,추부면,"충청남도 금산군 추부면 대학로 201 (마전리, 중부대학교) ",36.193200115990265,127.44991883395572
